timestamp,vehicle_id,vehicle_type,toll_plaza_id
2026-08-14 09:21:20,9778195,car,4009
2026-08-14 09:21:22,9635717,car,4004
2026-08-14 09:21:24,486636,car,4009
2026-08-14 09:21:25,6838921,truck,4005
2026-08-14 09:21:25,7278040,van,4008
2026-08-14 09:21:27,731359,car,4006
2026-08-14 09:21:28,5477767,car,4008
2026-08-14 09:21:28,9873196,car,4009
2026-08-14 09:21:29,7500349,car,4003
2026-08-14 09:21:30,2599416,car,4003
2026-08-14 09:21:31,470127,car,4003
2026-08-14 09:21:33,8368332,car,4004
2026-08-14 09:21:33,5394156,truck,4008
2026-08-14 09:21:33,1489016,truck,4004
2026-08-14 09:21:35,962275,car,4001
2026-08-14 09:21:35,6192175,truck,4010
2026-08-14 09:21:36,7987548,car,4006
2026-08-14 09:21:37,7672518,car,4010
2026-08-14 09:21:38,382724,truck,4004
2026-08-14 09:21:40,1610431,car,4002
2026-08-14 09:21:40,1899505,car,4005
2026-08-14 09:21:42,3848167,truck,4004
2026-08-14 09:21:43,111298,car,4005
2026-08-14 09:21:44,5691209,truck,4008
2026-08-14 09:21:44,8660200,truck,4001
2026-08-14 09:21:45,6796955,car,4008
2026-08-14 09:21:46,9173567,truck,4004
2026-08-14 09:21:47,2706938,car,4001
2026-08-14 09:21:48,2702133,truck,4006
2026-08-14 09:21:49,5398097,car,4006
2026-08-14 09:21:51,6255555,car,4004
2026-08-14 09:21:53,7201055,truck,4010
2026-08-14 09:21:53,1808570,car,4005
2026-08-14 09:21:54,1953685,car,4003
2026-08-14 09:21:55,3600748,car,4007
2026-08-14 09:21:55,2019342,car,4003
2026-08-14 09:21:57,2521044,car,4004
2026-08-14 09:21:58,311395,truck,4002
2026-08-14 09:22:00,4885571,car,4003
2026-08-14 09:22:01,4531708,truck,4000
2026-08-14 09:22:01,9803531,truck,4001
2026-08-14 09:22:03,251678,van,4002
2026-08-14 09:22:03,9698685,car,4003
2026-08-14 09:22:04,7517205,van,4000
2026-08-14 09:22:06,1940021,truck,4000
2026-08-14 09:22:07,7915375,car,4000
2026-08-14 09:22:08,7619379,truck,4002
2026-08-14 09:22:10,2952834,car,4000
2026-08-14 09:22:10,7926982,car,4010
2026-08-14 09:22:12,8594173,van,4007
